country,year,health_spending
AT,2013,3509.3
AT,2014,3571.85
AT,2015,3650.39
AT,2016,3717.11
AT,2017,3790.16
AT,2018,3890.73
AT,2019,4004.4
AT,2020,4094.71
AT,2021,4789.04
AT,2022,4834.15
AT,2023,4900.58
AT,2024,5192.14
BE,2013,3293.27
BE,2014,3382.42
BE,2015,3547.85
BE,2016,3570.8
BE,2017,3656.97
BE,2018,3773.38
BE,2019,3868.81
BE,2020,3965.51
BE,2021,4204.69
BE,2022,4335.65
BE,2023,4569.83
BG,2013,471.87
BG,2014,538.11
BG,2015,553.04
BG,2016,598.27
BG,2017,634.01
BG,2018,659.67
BG,2019,682.09
BG,2020,795.35
BG,2021,931.82
BG,2022,956.83
BG,2023,1065.79
CY,2013,1478.4
CY,2014,1470.58
CY,2015,1501.73
CY,2016,1591.15
CY,2017,1672.57
CY,2018,1794.65
CY,2019,1946.66
CY,2020,2270.04
CY,2021,2593.72
CY,2022,2711.29
CY,2023,2795.06
CZ,2013,1743.95
CZ,2014,1876.44
CZ,2015,1900.28
CZ,2016,1967.49
CZ,2017,2079.85
CZ,2018,2179.29
CZ,2019,2323.57
CZ,2020,2665.69
CZ,2021,2862.74
CZ,2022,2758.61
CZ,2023,2925.23
CZ,2024,3103.66
DE,2013,3619.9
DE,2014,3755.95
DE,2015,3863.8
DE,2016,3997.47
DE,2017,4183.99
DE,2018,4357.61
DE,2019,4516.45
DE,2020,4790.13
DE,2021,5198.2
DE,2022,5431.61
DE,2023,5413.7
DE,2024,5795.79
DK,2013,3321.02
DK,2014,3364.55
DK,2015,3462.76
DK,2016,3470.23
DK,2017,3601.38
DK,2018,3701.62
DK,2019,3765.11
DK,2020,3998.24
DK,2021,4434.97
DK,2022,4181.42
DK,2023,4173.35
DK,2024,4367.47
EE,2013,1253.3
EE,2014,1332.84
EE,2015,1421.52
EE,2016,1484.5
EE,2017,1550.64
EE,2018,1649.03
EE,2019,1739.7
EE,2020,1900.51
EE,2021,2037.5
EE,2022,1989.21
EE,2023,2144.9
EE,2024,2337.6
EL,2013,1532.11
EL,2014,1471.78
EL,2015,1555.24
EL,2016,1599.01
EL,2017,1585.41
EL,2018,1614.59
EL,2019,1652.35
EL,2020,1726.07
EL,2021,1879.31
EL,2022,1993.8
EL,2023,2191.37
ES,2013,2055.41
ES,2014,2120.45
ES,2015,2244.74
ES,2016,2264.43
ES,2017,2373.49
ES,2018,2428.11
ES,2019,2544.04
