country,year,sex,life_expectancy
AT,2012,F,83.6
AT,2013,F,83.8
AT,2014,F,84.0
AT,2015,F,83.7
AT,2016,F,84.1
AT,2017,F,84.0
AT,2018,F,84.1
AT,2019,F,84.2
AT,2020,F,83.6
AT,2021,F,83.7
AT,2022,F,83.6
AT,2023,F,84.2
BE,2012,F,83.1
BE,2013,F,83.2
BE,2014,F,83.9
BE,2015,F,83.4
BE,2016,F,84.0
BE,2017,F,83.9
BE,2018,F,83.9
BE,2019,F,84.3
BE,2020,F,83.0
BE,2021,F,84.3
BE,2022,F,83.9
BE,2023,F,84.5
BG,2012,F,77.9
BG,2013,F,78.6
BG,2014,F,78.0
BG,2015,F,78.2
BG,2016,F,78.5
BG,2017,F,78.4
BG,2018,F,78.6
BG,2019,F,78.8
BG,2020,F,77.5
BG,2021,F,75.1
BG,2022,F,77.9
BG,2023,F,79.7
CY,2012,F,83.4
CY,2013,F,85.0
CY,2014,F,84.3
CY,2015,F,83.7
CY,2016,F,84.9
CY,2017,F,84.2
CY,2018,F,84.8
CY,2019,F,84.4
CY,2020,F,84.4
CY,2021,F,83.4
CY,2022,F,83.4
CY,2023,F,85.3
CZ,2012,F,81.2
CZ,2013,F,81.3
CZ,2014,F,82.0
CZ,2015,F,81.6
CZ,2016,F,82.1
CZ,2017,F,82.0
CZ,2018,F,82.0
CZ,2019,F,82.2
CZ,2020,F,81.3
CZ,2021,F,80.5
CZ,2022,F,81.9
CZ,2023,F,82.9
DE,2012,F,83.1
DE,2013,F,83.0
DE,2014,F,83.6
DE,2015,F,83.1
DE,2016,F,83.5
DE,2017,F,83.4
DE,2018,F,83.3
DE,2019,F,83.7
DE,2020,F,83.5
DE,2021,F,83.3
DE,2022,F,83.0
DE,2023,F,83.5
DK,2012,F,82.1
DK,2013,F,82.4
DK,2014,F,82.8
DK,2015,F,82.7
DK,2016,F,82.8
DK,2017,F,83.1
DK,2018,F,82.9
DK,2019,F,83.5
DK,2020,F,83.6
DK,2021,F,83.3
DK,2022,F,83.2
DK,2023,F,83.7
EE,2012,F,81.5
EE,2013,F,81.7
EE,2014,F,81.9
EE,2015,F,82.2
EE,2016,F,82.2
EE,2017,F,82.6
EE,2018,F,82.7
EE,2019,F,83.0
EE,2020,F,83.0
EE,2021,F,81.4
EE,2022,F,82.3
EE,2023,F,83.3
EL,2012,F,83.4
EL,2013,F,84.0
EL,2014,F,84.1
EL,2015,F,83.7
EL,2016,F,84.0
EL,2017,F,83.9
EL,2018,F,84.4
EL,2019,F,84.2
EL,2020,F,83.9
EL,2021,F,82.9
EL,2022,F,83.4
EL,2023,F,84.4
ES,2012,F,85.5
ES,2013,F,86.1
ES,2014,F,86.2
ES,2015,F,85.7
ES,2016,F,86.3
ES,2017,F,86.1
ES,2018,F,86.3
ES,2019,F,86.7
ES,2020,F,85.2
ES,2021,F,86.2
ES,2022,F,85.9
ES,2023,F,86.7
FI,2012,F,83.7
FI,2014,F,84.1
FI,2015,F,84.4
FI,2016,F,84.4
FI,2017,F,84.5
FI,2018,F,84.5
FI,2019,F,84.8
FI,2020,F,84.8
FI,2021,F,84.6
FI,2022,F,83.8
FI,2023,F,84.3
FR,2012,F,85.4
FR,2013,F,85.6
FR,2014,F,86.1
FR,2015,F,85.6
FR,2016,F,85.7
FR,2017,F,85.7
FR,2018,F,85.8
FR,2019,F,85.9
FR,2020,F,85.3
FR,2021,F,85.5
FR,2022,F,85.1
FR,2023,F,85.7
HR,2012,F,80.6
HR,2013,F,81.0
HR,2014,F,81.0
HR,2015,F,80.5
HR,2016,F,81.3
HR,2017,F,81.0
HR,2018,F,81.5
HR,2019,F,81.6
HR,2020,F,80.9
HR,2021,F,79.8
HR,2022,F,80.8
HR,2023,F,81.8
HU,2012,F,78.7
HU,2013,F,79.1
HU,2014,F,79.4
HU,2015,F,79.0
HU,2016,F,79.7
HU,2017,F,79.3
HU,2018,F,79.6
HU,2019,F,79.7
HU,2020,F,79.0
HU,2021,F,77.8
HU,2022,F,79.3
HU,2023,F,79.9
IE,2012,F,83.1
IE,2013,F,83.1
IE,2014,F,83.5
IE,2015,F,83.4
IE,2016,F,83.6
IE,2017,F,84.0
IE,2018,F,84.1
IE,2019,F,84.7
IE,2020,F,84.4
IE,2021,F,84.3
IE,2022,F,84.2
IE,2023,F,84.6
IT,2012,F,84.8
IT,2013,F,85.2
IT,2014,F,85.6
IT,2015,F,84.9
IT,2016,F,85.6
IT,2017,F,85.2
IT,2018,F,85.6
IT,2019,F,85.8
IT,2020,F,84.5
IT,2021,F,84.9
IT,2022,F,84.8
IT,2023,F,85.4
LT,2012,F,79.6
LT,2013,F,79.6
LT,2014,F,80.1
LT,2015,F,79.7
LT,2016,F,80.1
LT,2017,F,80.5
LT,2018,F,80.7
LT,2019,F,81.2
LT,2020,F,80.1
LT,2021,F,78.8
LT,2022,F,80.1
LT,2023,F,81.9
LU,2012,F,83.8
LU,2013,F,83.9
LU,2014,F,85.2
LU,2015,F,84.7
LU,2016,F,85.4
LU,2017,F,84.4
LU,2018,F,84.6
LU,2019,F,85.2
LU,2020,F,84.5
LU,2021,F,84.8
LU,2022,F,85.2
LV,2012,F,78.9
LV,2013,F,78.9
LV,2014,F,79.4
LV,2015,F,79.5
