country,year,sex,disease,deaths
AT,2011,F,Tuberculosis,20
AT,2012,F,Tuberculosis,12
AT,2013,F,Tuberculosis,21
AT,2014,F,Tuberculosis,20
AT,2015,F,Tuberculosis,23
AT,2016,F,Tuberculosis,12
AT,2017,F,Tuberculosis,16
AT,2018,F,Tuberculosis,18
AT,2019,F,Tuberculosis,17
AT,2020,F,Tuberculosis,14
AT,2021,F,Tuberculosis,11
AT,2022,F,Tuberculosis,14
BE,2011,F,Tuberculosis,20
BE,2012,F,Tuberculosis,19
BE,2013,F,Tuberculosis,21
BE,2014,F,Tuberculosis,12
BE,2015,F,Tuberculosis,24
BE,2016,F,Tuberculosis,15
BE,2017,F,Tuberculosis,8
BE,2018,F,Tuberculosis,15
BE,2019,F,Tuberculosis,18
BE,2020,F,Tuberculosis,17
BE,2021,F,Tuberculosis,6
BE,2022,F,Tuberculosis,4
BG,2011,F,Tuberculosis,32
BG,2012,F,Tuberculosis,33
BG,2013,F,Tuberculosis,32
BG,2014,F,Tuberculosis,28
BG,2015,F,Tuberculosis,30
BG,2016,F,Tuberculosis,11
BG,2017,F,Tuberculosis,21
BG,2018,F,Tuberculosis,26
BG,2019,F,Tuberculosis,22
BG,2020,F,Tuberculosis,14
BG,2021,F,Tuberculosis,16
BG,2022,F,Tuberculosis,10
CY,2011,F,Tuberculosis,1
CY,2012,F,Tuberculosis,2
CY,2013,F,Tuberculosis,1
CY,2014,F,Tuberculosis,2
CY,2015,F,Tuberculosis,1
CY,2016,F,Tuberculosis,0
CY,2017,F,Tuberculosis,1
CY,2018,F,Tuberculosis,1
CY,2019,F,Tuberculosis,0
CY,2020,F,Tuberculosis,0
CY,2021,F,Tuberculosis,2
CY,2022,F,Tuberculosis,2
CZ,2011,F,Tuberculosis,19
CZ,2012,F,Tuberculosis,11
CZ,2013,F,Tuberculosis,23
CZ,2014,F,Tuberculosis,14
CZ,2015,F,Tuberculosis,14
CZ,2016,F,Tuberculosis,11
CZ,2017,F,Tuberculosis,13
CZ,2018,F,Tuberculosis,10
CZ,2019,F,Tuberculosis,5
CZ,2020,F,Tuberculosis,5
