country,year,population
AT,2014,8507786
AT,2015,8584926
AT,2016,8700471
AT,2017,8772865
AT,2018,8822267
AT,2019,8858775
AT,2020,8901064
AT,2021,8932664
AT,2022,8978929
AT,2023,9104772
AT,2024,9158750
AT,2025,9197213
BE,2014,11180840
BE,2015,11237274
BE,2016,11311117
BE,2017,11351727
BE,2018,11398589
BE,2019,11455519
BE,2020,11522440
BE,2021,11554767
BE,2022,11617623
BE,2023,11742796
BE,2024,11817096
BE,2025,11900123
BG,2014,7117453
BG,2015,7029690
BG,2016,6938759
BG,2017,6849518
BG,2018,6757418
BG,2019,6664177
BG,2020,6569275
BG,2021,6532117
BG,2022,6482484
BG,2023,6447710
BG,2024,6445481
BG,2025,6437360
CY,2014,860032
CY,2015,860846
CY,2016,863764
CY,2017,869878
CY,2018,878601
CY,2019,890194
CY,2020,902429
CY,2021,914476
CY,2022,929764
CY,2023,949084
CY,2024,966365
CY,2025,979865
DE,2014,80767463
DE,2015,81197537
DE,2016,82175684
DE,2017,82521653
DE,2018,82792351
DE,2019,83019213
DE,2020,83166711
DE,2021,83155031
DE,2022,83237124
DE,2023,83118501
DE,2024,83456045
DE,2025,83577140
DK,2014,5627235
DK,2015,5659715
DK,2016,5707251
DK,2017,5748769
DK,2018,5781190
DK,2019,5806081
DK,2020,5822763
DK,2021,5840045
DK,2022,5873420
DK,2023,5932654
DK,2024,5961249
DK,2025,5992734
EE,2014,1315819
EE,2015,1314870
EE,2016,1315944
EE,2017,1315635
EE,2018,1319133
EE,2019,1324820
EE,2020,1328976
EE,2021,1330068
EE,2022,1331796
EE,2023,1365884
EE,2024,1374687
EE,2025,1369995
EL,2014,10926807
EL,2015,10858018
EL,2016,10783748
EL,2017,10768193
EL,2018,10741165
EL,2019,10724599
EL,2020,10718565
EL,2021,10678632
EL,2022,10461627
EL,2023,10413982
EL,2024,10400720
EL,2025,10409547
ES,2014,46495744
ES,2015,46425722
ES,2016,46418884
ES,2017,46497393
ES,2018,46645070
ES,2019,46918951
ES,2020,47318050
ES,2021,47400798
ES,2022,47486843
ES,2023,48085361
ES,2024,48619695
ES,2025,49077984
FI,2014,5451270
FI,2015,5471753
FI,2016,5487308
FI,2017,5503297
FI,2018,5513130
FI,2019,5517919
FI,2020,5525292
FI,2021,5533793
FI,2022,5548241
FI,2023,5563970
FI,2024,5603851
FI,2025,5635971
HR,2014,4217632
HR,2015,4180915
HR,2016,4131115
HR,2017,4078769
HR,2018,4014341
HR,2019,3968676
HR,2020,3933511
HR,2021,3893026
HR,2022,3862305
HR,2023,3850894
HR,2024,3861967
HR,2025,3874350
HU,2014,9850217
HU,2015,9815858
HU,2016,9779652
HU,2017,9739857
HU,2018,9713655
HU,2019,9700272
HU,2020,9689376
HU,2021,9651461
HU,2022,9610403
HU,2023,9599744
HU,2024,9584627
HU,2025,9539502
IE,2014,4637852
IE,2015,4677627
IE,2016,4726286
IE,2017,4799157
IE,2018,4855733
IE,2019,4940311
IE,2020,5012600
IE,2021,5066893
IE,2022,5154277
IE,2023,5271395
IE,2024,5351681
IE,2025,5439898
IT,2014,60345917
IT,2015,60295497
IT,2016,60163712
IT,2017,60066734
IT,2018,59937769
IT,2019,59816673
IT,2020,59641488
IT,2021,59236213
IT,2022,59030133
IT,2023,58997201
IT,2024,58971230
IT,2025,58934177
LT,2014,2947862
LT,2015,2926644
LT,2016,2895573
LT,2017,2859077
LT,2018,2826200
LT,2019,2812200
LT,2020,2809977
LT,2021,2810761
LT,2022,2805998
LT,2023,2857279
LT,2024,2885891
LT,2025,2890664
LU,2014,549680
LU,2015,562958
LU,2016,576249
LU,2017,590667
LU,2018,602005
LU,2019,613894
LU,2020,626108
LU,2021,634730
LU,2022,645397
LU,2023,660809
LU,2024,672050
LU,2025,681973
LV,2014,2001468
LV,2015,1986096
LV,2016,1968957
LV,2017,1950116
LV,2018,1934379
LV,2019,1919968
LV,2020,1907675
LV,2021,1893223
LV,2022,1875757
LV,2023,1892103
LV,2024,1875316
LV,2025,1856932
MT,2014,428156
MT,2015,438805
MT,2016,449635
MT,2017,459375
MT,2018,474837
MT,2019,492968
MT,2020,514855
MT,2021,516125
MT,2022,520174
MT,2023,542051
MT,2024,563443
MT,2025,574250
NL,2014,16829289
NL,2015,16900726
NL,2016,16979120
NL,2017,17081507
NL,2018,17181084
NL,2019,17282163
NL,2020,17407585
NL,2021,17475415
NL,2022,17590672
NL,2023,17811291
NL,2024,17942942
NL,2025,18044027
PL,2014,38017856
PL,2015,38005614
PL,2016,37967209
PL,2017,37972964
PL,2018,37976687
PL,2019,37972812
PL,2020,37958138
PL,2021,37073357
PL,2022,36889761
PL,2023,36753736
PL,2024,36620970
PL,2025,36497495
PT,2014,10444092
PT,2015,10395121
PT,2016,10368554
PT,2017,10344478
PT,2018,10335770
PT,2019,10333496
PT,2020,10375395
PT,2021,10394297
PT,2022,10421117
PT,2023,10516621
PT,2024,10639726
PT,2025,10749635
RO,2014,19947311
RO,2015,19870647
RO,2016,19760585
RO,2017,19643949
RO,2018,19533481
RO,2019,19414458
RO,2020,19328838
RO,2021,19201662
RO,2022,19042455
RO,2023,19054548
RO,2024,19067576
RO,2025,19036031
SE,2014,9644864
SE,2015,9747355
SE,2016,9851017
SE,2017,9995153
SE,2018,10120242
SE,2019,10230185
SE,2020,10327589
SE,2021,10379295
SE,2022,10452326
SE,2023,10521556
SE,2024,10551707
SE,2025,10587710
SI,2014,2061085
SI,2015,2062874
SI,2016,2064188
SI,2017,2065895
SI,2018,2066880
SI,2019,2080908
SI,2020,2095861
SI,2021,2108977
SI,2022,2107180
SI,2023,2116972
SI,2024,2123949
SI,2025,2130850
SK,2014,5415949
SK,2015,5421349
SK,2016,5426252
SK,2017,5435343
SK,2018,5443120
SK,2019,5450421
SK,2020,5457873
SK,2021,5459781
SK,2022,5434712
SK,2023,5428792
SK,2024,5424687
SK,2025,5419451
