country,year,sex,disease,prevalence
AT,2014,F,Allergy,25.9
AT,2019,F,Allergy,24.5
BE,2014,F,Allergy,15.0
BE,2019,F,Allergy,20.5
BG,2014,F,Allergy,5.7
BG,2019,F,Allergy,5.3
CY,2014,F,Allergy,7.7
CY,2019,F,Allergy,9.2
CZ,2014,F,Allergy,14.2
CZ,2019,F,Allergy,15.7
DE,2014,F,Allergy,32.5
DE,2019,F,Allergy,34.9
DK,2014,F,Allergy,17.6
DK,2019,F,Allergy,18.1
EE,2014,F,Allergy,10.5
EE,2019,F,Allergy,13.0
EL,2014,F,Allergy,11.6
EL,2019,F,Allergy,7.6
ES,2014,F,Allergy,15.7
ES,2019,F,Allergy,12.8
FI,2014,F,Allergy,37.1
FI,2019,F,Allergy,39.4
FR,2014,F,Allergy,16.3
FR,2019,F,Allergy,25.5
HR,2014,F,Allergy,15.6
HR,2019,F,Allergy,19.6
HU,2014,F,Allergy,15.8
HU,2019,F,Allergy,21.1
IE,2014,F,Allergy,15.6
IE,2019,F,Allergy,8.4
IT,2014,F,Allergy,16.2
IT,2019,F,Allergy,17.4
LT,2014,F,Allergy,9.9
LT,2019,F,Allergy,13.5
LU,2014,F,Allergy,27.2
LU,2019,F,Allergy,29.1
LV,2014,F,Allergy,14.5
LV,2019,F,Allergy,14.2
MT,2014,F,Allergy,17.4
MT,2019,F,Allergy,10.0
NL,2014,F,Allergy,20.8
NL,2019,F,Allergy,23.2
PL,2014,F,Allergy,10.4
PL,2019,F,Allergy,10.0
PT,2014,F,Allergy,23.3
PT,2019,F,Allergy,24.5
RO,2014,F,Allergy,1.8
RO,2019,F,Allergy,0.9
SE,2014,F,Allergy,25.2
SE,2019,F,Allergy,26.8
SI,2014,F,Allergy,20.1
SI,2019,F,Allergy,19.0
SK,2014,F,Allergy,15.5
SK,2019,F,Allergy,16.0
AT,2014,M,Allergy,21.2
AT,2019,M,Allergy,22.0
BE,2014,M,Allergy,12.7
BE,2019,M,Allergy,17.8
BG,2014,M,Allergy,2.9
BG,2019,M,Allergy,2.4
CY,2014,M,Allergy,4.8
CY,2019,M,Allergy,5.9
CZ,2014,M,Allergy,9.3
CZ,2019,M,Allergy,9.4
DE,2014,M,Allergy,25.8
DE,2019,M,Allergy,27.4
DK,2014,M,Allergy,14.7
DK,2019,M,Allergy,15.4
EE,2014,M,Allergy,6.3
EE,2019,M,Allergy,8.9
EL,2014,M,Allergy,6.9
EL,2019,M,Allergy,5.4
