country,year,health_spending
Austria,2013,3509.3
Austria,2014,3571.85
Austria,2015,3650.39
Austria,2016,3717.11
Austria,2017,3790.16
Austria,2018,3890.73
Austria,2019,4004.4
Austria,2020,4094.71
Austria,2021,4789.04
Austria,2022,4834.15
Austria,2023,4900.58
Austria,2024,5192.14
Belgio,2013,3293.27
Belgio,2014,3382.42
Belgio,2015,3547.85
Belgio,2016,3570.8
Belgio,2017,3656.97
Belgio,2018,3773.38
Belgio,2019,3868.81
Belgio,2020,3965.51
Belgio,2021,4204.69
Belgio,2022,4335.65
Belgio,2023,4569.83
Bulgaria,2013,471.87
Bulgaria,2014,538.11
Bulgaria,2015,553.04
Bulgaria,2016,598.27
Bulgaria,2017,634.01
Bulgaria,2018,659.67
Bulgaria,2019,682.09
Bulgaria,2020,795.35
Bulgaria,2021,931.82
Bulgaria,2022,956.83
Bulgaria,2023,1065.79
Cipro,2013,1478.4
Cipro,2014,1470.58
Cipro,2015,1501.73
Cipro,2016,1591.15
Cipro,2017,1672.57
Cipro,2018,1794.65
Cipro,2019,1946.66
Cipro,2020,2270.04
Cipro,2021,2593.72
Cipro,2022,2711.29
Cipro,2023,2795.06
Repubblica Ceca,2013,1743.95
Repubblica Ceca,2014,1876.44
Repubblica Ceca,2015,1900.28
Repubblica Ceca,2016,1967.49
Repubblica Ceca,2017,2079.85
Repubblica Ceca,2018,2179.29
Repubblica Ceca,2019,2323.57
Repubblica Ceca,2020,2665.69
Repubblica Ceca,2021,2862.74
Repubblica Ceca,2022,2758.61
Repubblica Ceca,2023,2925.23
Repubblica Ceca,2024,3103.66
Germania,2013,3619.9
Germania,2014,3755.95
Germania,2015,3863.8
Germania,2016,3997.47
Germania,2017,4183.99
Germania,2018,4357.61
Germania,2019,4516.45
Germania,2020,4790.13
Germania,2021,5198.2
Germania,2022,5431.61
Germania,2023,5413.7
Germania,2024,5795.79
Danimarca,2013,3321.02
Danimarca,2014,3364.55
Danimarca,2015,3462.76
Danimarca,2016,3470.23
Danimarca,2017,3601.38
Danimarca,2018,3701.62
Danimarca,2019,3765.11
Danimarca,2020,3998.24
Danimarca,2021,4434.97
Danimarca,2022,4181.42
Danimarca,2023,4173.35
Danimarca,2024,4367.47
Estonia,2013,1253.3
Estonia,2014,1332.84
Estonia,2015,1421.52
Estonia,2016,1484.5
Estonia,2017,1550.64
Estonia,2018,1649.03
Estonia,2019,1739.7
Estonia,2020,1900.51
Estonia,2021,2037.5
Estonia,2022,1989.21
Estonia,2023,2144.9
Estonia,2024,2337.6
Grecia,2013,1532.11
Grecia,2014,1471.78
Grecia,2015,1555.24
Grecia,2016,1599.01
Grecia,2017,1585.41
Grecia,2018,1614.59
Grecia,2019,1652.35
Grecia,2020,1726.07
Grecia,2021,1879.31
Grecia,2022,1993.8
Grecia,2023,2191.37
Spagna,2013,2055.41
Spagna,2014,2120.45
Spagna,2015,2244.74
Spagna,2016,2264.43
Spagna,2017,2373.49
Spagna,2018,2428.11
Spagna,2019,2544.04
Spagna,2020,2599.36
Spagna,2021,2826.19
Spagna,2022,2978.06
Spagna,2023,3136.97
Finlandia,2013,2886.29
Finlandia,2014,2894.93
Finlandia,2015,2924.86
Finlandia,2016,2905.61
Finlandia,2017,2969.12
Finlandia,2018,3020.65
Finlandia,2019,3101.59
Finlandia,2020,3230.65
Finlandia,2021,3460.96
Finlandia,2022,3619.22
Finlandia,2023,3995.48
Francia,2013,3361.78
Francia,2014,3405.5
Francia,2015,3441.54
Francia,2016,3511.67
Francia,2017,3545.77
Francia,2018,3575.34
Francia,2019,3678.22
Francia,2020,3820.69
Francia,2021,4102.73
Francia,2022,4206.65
Francia,2023,4359.86
Francia,2024,4556.87
Croazia,2013,1015.76
Croazia,2014,1064.58
Croazia,2015,1129.5
Croazia,2016,1205.79
Croazia,2017,1267.1
Croazia,2018,1345.56
Croazia,2019,1429.74
Croazia,2020,1505.75
Croazia,2021,1865.96
Croazia,2022,1867.55
Croazia,2023,2032.28
Ungheria,2013,1339.47
Ungheria,2014,1368.59
Ungheria,2015,1391.9
Ungheria,2016,1423.8
Ungheria,2017,1416.61
Ungheria,2018,1480.03
Ungheria,2019,1494.63
Ungheria,2020,1701.2
Ungheria,2021,1892.42
Ungheria,2022,1891.57
Ungheria,2023,1924.71
Ungheria,2024,2050.3
Irlanda,2013,3135.78
Irlanda,2014,3059.68
Irlanda,2015,3156.77
Irlanda,2016,3233.08
Irlanda,2017,3303.95
Irlanda,2018,3400.57
Irlanda,2019,3481.78
Irlanda,2020,3654.76
Irlanda,2021,3990.91
Irlanda,2022,4236.2
Irlanda,2023,4473.82
Irlanda,2024,4799.23
Italia,2013,2245.53
Italia,2014,2249.14
Italia,2015,2289.82
Italia,2016,2349.18
Italia,2017,2413.66
Italia,2018,2461.76
Italia,2019,2528.03
Italia,2020,2619.53
Italia,2021,2828.42
Italia,2022,2978.38
Italia,2023,3086.21
Italia,2024,3199.32
Lituania,2013,1218.57
Lituania,2014,1301.72
Lituania,2015,1401.45
Lituania,2016,1480.71
Lituania,2017,1563.53
Lituania,2018,1661.39
Lituania,2019,1898.62
Lituania,2020,2011.42
Lituania,2021,2310.27
