country,year,sex,life_expectancy
Austria,2012,F,83.6
Austria,2013,F,83.8
Austria,2014,F,84.0
Austria,2015,F,83.7
Austria,2016,F,84.1
Austria,2017,F,84.0
Austria,2018,F,84.1
Austria,2019,F,84.2
Austria,2020,F,83.6
Austria,2021,F,83.7
Austria,2022,F,83.6
Austria,2023,F,84.2
Belgio,2012,F,83.1
Belgio,2013,F,83.2
Belgio,2014,F,83.9
Belgio,2015,F,83.4
Belgio,2016,F,84.0
Belgio,2017,F,83.9
Belgio,2018,F,83.9
Belgio,2019,F,84.3
Belgio,2020,F,83.0
Belgio,2021,F,84.3
Belgio,2022,F,83.9
Belgio,2023,F,84.5
Bulgaria,2012,F,77.9
Bulgaria,2013,F,78.6
Bulgaria,2014,F,78.0
Bulgaria,2015,F,78.2
Bulgaria,2016,F,78.5
Bulgaria,2017,F,78.4
Bulgaria,2018,F,78.6
Bulgaria,2019,F,78.8
Bulgaria,2020,F,77.5
Bulgaria,2021,F,75.1
Bulgaria,2022,F,77.9
Bulgaria,2023,F,79.7
Cipro,2012,F,83.4
Cipro,2013,F,85.0
Cipro,2014,F,84.3
Cipro,2015,F,83.7
Cipro,2016,F,84.9
Cipro,2017,F,84.2
Cipro,2018,F,84.8
Cipro,2019,F,84.4
Cipro,2020,F,84.4
Cipro,2021,F,83.4
Cipro,2022,F,83.4
Cipro,2023,F,85.3
Repubblica Ceca,2012,F,81.2
Repubblica Ceca,2013,F,81.3
Repubblica Ceca,2014,F,82.0
Repubblica Ceca,2015,F,81.6
Repubblica Ceca,2016,F,82.1
Repubblica Ceca,2017,F,82.0
Repubblica Ceca,2018,F,82.0
Repubblica Ceca,2019,F,82.2
Repubblica Ceca,2020,F,81.3
Repubblica Ceca,2021,F,80.5
Repubblica Ceca,2022,F,81.9
Repubblica Ceca,2023,F,82.9
Germania,2012,F,83.1
Germania,2013,F,83.0
Germania,2014,F,83.6
Germania,2015,F,83.1
Germania,2016,F,83.5
Germania,2017,F,83.4
Germania,2018,F,83.3
Germania,2019,F,83.7
Germania,2020,F,83.5
Germania,2021,F,83.3
Germania,2022,F,83.0
Germania,2023,F,83.5
Danimarca,2012,F,82.1
Danimarca,2013,F,82.4
Danimarca,2014,F,82.8
Danimarca,2015,F,82.7
Danimarca,2016,F,82.8
Danimarca,2017,F,83.1
Danimarca,2018,F,82.9
Danimarca,2019,F,83.5
Danimarca,2020,F,83.6
Danimarca,2021,F,83.3
Danimarca,2022,F,83.2
Danimarca,2023,F,83.7
Estonia,2012,F,81.5
Estonia,2013,F,81.7
Estonia,2014,F,81.9
Estonia,2015,F,82.2
Estonia,2016,F,82.2
Estonia,2017,F,82.6
Estonia,2018,F,82.7
Estonia,2019,F,83.0
Estonia,2020,F,83.0
Estonia,2021,F,81.4
Estonia,2022,F,82.3
Estonia,2023,F,83.3
Grecia,2012,F,83.4
Grecia,2013,F,84.0
Grecia,2014,F,84.1
Grecia,2015,F,83.7
Grecia,2016,F,84.0
Grecia,2017,F,83.9
Grecia,2018,F,84.4
Grecia,2019,F,84.2
Grecia,2020,F,83.9
Grecia,2021,F,82.9
Grecia,2022,F,83.4
Grecia,2023,F,84.4
Spagna,2012,F,85.5
Spagna,2013,F,86.1
Spagna,2014,F,86.2
Spagna,2015,F,85.7
Spagna,2016,F,86.3
Spagna,2017,F,86.1
Spagna,2018,F,86.3
Spagna,2019,F,86.7
Spagna,2020,F,85.2
Spagna,2021,F,86.2
Spagna,2022,F,85.9
Spagna,2023,F,86.7
Finlandia,2012,F,83.7
Finlandia,2014,F,84.1
Finlandia,2015,F,84.4
Finlandia,2016,F,84.4
Finlandia,2017,F,84.5
Finlandia,2018,F,84.5
Finlandia,2019,F,84.8
Finlandia,2020,F,84.8
Finlandia,2021,F,84.6
Finlandia,2022,F,83.8
Finlandia,2023,F,84.3
Francia,2012,F,85.4
Francia,2013,F,85.6
Francia,2014,F,86.1
Francia,2015,F,85.6
Francia,2016,F,85.7
Francia,2017,F,85.7
Francia,2018,F,85.8
Francia,2019,F,85.9
Francia,2020,F,85.3
Francia,2021,F,85.5
Francia,2022,F,85.1
Francia,2023,F,85.7
Croazia,2012,F,80.6
Croazia,2013,F,81.0
Croazia,2014,F,81.0
Croazia,2015,F,80.5
Croazia,2016,F,81.3
Croazia,2017,F,81.0
Croazia,2018,F,81.5
Croazia,2019,F,81.6
Croazia,2020,F,80.9
Croazia,2021,F,79.8
Croazia,2022,F,80.8
Croazia,2023,F,81.8
Ungheria,2012,F,78.7
Ungheria,2013,F,79.1
Ungheria,2014,F,79.4
Ungheria,2015,F,79.0
Ungheria,2016,F,79.7
Ungheria,2017,F,79.3
Ungheria,2018,F,79.6
Ungheria,2019,F,79.7
Ungheria,2020,F,79.0
Ungheria,2021,F,77.8
Ungheria,2022,F,79.3
