country,year,sex,disease,deaths
Austria,2011,F,Tubercolosi,20
Austria,2012,F,Tubercolosi,12
Austria,2013,F,Tubercolosi,21
Austria,2014,F,Tubercolosi,20
Austria,2015,F,Tubercolosi,23
Austria,2016,F,Tubercolosi,12
Austria,2017,F,Tubercolosi,16
Austria,2018,F,Tubercolosi,18
Austria,2019,F,Tubercolosi,17
Austria,2020,F,Tubercolosi,14
Austria,2021,F,Tubercolosi,11
Austria,2022,F,Tubercolosi,14
Belgio,2011,F,Tubercolosi,20
Belgio,2012,F,Tubercolosi,19
Belgio,2013,F,Tubercolosi,21
Belgio,2014,F,Tubercolosi,12
Belgio,2015,F,Tubercolosi,24
Belgio,2016,F,Tubercolosi,15
Belgio,2017,F,Tubercolosi,8
Belgio,2018,F,Tubercolosi,15
Belgio,2019,F,Tubercolosi,18
Belgio,2020,F,Tubercolosi,17
Belgio,2021,F,Tubercolosi,6
Belgio,2022,F,Tubercolosi,4
Bulgaria,2011,F,Tubercolosi,32
Bulgaria,2012,F,Tubercolosi,33
Bulgaria,2013,F,Tubercolosi,32
Bulgaria,2014,F,Tubercolosi,28
Bulgaria,2015,F,Tubercolosi,30
Bulgaria,2016,F,Tubercolosi,11
Bulgaria,2017,F,Tubercolosi,21
Bulgaria,2018,F,Tubercolosi,26
Bulgaria,2019,F,Tubercolosi,22
Bulgaria,2020,F,Tubercolosi,14
Bulgaria,2021,F,Tubercolosi,16
Bulgaria,2022,F,Tubercolosi,10
Cipro,2011,F,Tubercolosi,1
Cipro,2012,F,Tubercolosi,2
Cipro,2013,F,Tubercolosi,1
Cipro,2014,F,Tubercolosi,2
Cipro,2015,F,Tubercolosi,1
Cipro,2016,F,Tubercolosi,0
Cipro,2017,F,Tubercolosi,1
Cipro,2018,F,Tubercolosi,1
Cipro,2019,F,Tubercolosi,0
Cipro,2020,F,Tubercolosi,0
Cipro,2021,F,Tubercolosi,2
Cipro,2022,F,Tubercolosi,2
Repubblica Ceca,2011,F,Tubercolosi,19
Repubblica Ceca,2012,F,Tubercolosi,11
Repubblica Ceca,2013,F,Tubercolosi,23
