country,year,population
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Austria,2025,9197213
Belgio,2014,11180840
Belgio,2015,11237274
Belgio,2016,11311117
Belgio,2017,11351727
Belgio,2018,11398589
Belgio,2019,11455519
Belgio,2020,11522440
Belgio,2021,11554767
Belgio,2022,11617623
Belgio,2023,11742796
Belgio,2024,11817096
Belgio,2025,11900123
Bulgaria,2014,7117453
Bulgaria,2015,7029690
Bulgaria,2016,6938759
Bulgaria,2017,6849518
Bulgaria,2018,6757418
Bulgaria,2019,6664177
Bulgaria,2020,6569275
Bulgaria,2021,6532117
Bulgaria,2022,6482484
Bulgaria,2023,6447710
Bulgaria,2024,6445481
Bulgaria,2025,6437360
Cipro,2014,860032
Cipro,2015,860846
Cipro,2016,863764
Cipro,2017,869878
Cipro,2018,878601
Cipro,2019,890194
Cipro,2020,902429
Cipro,2021,914476
Cipro,2022,929764
Cipro,2023,949084
Cipro,2024,966365
Cipro,2025,979865
Germania,2014,80767463
Germania,2015,81197537
Germania,2016,82175684
Germania,2017,82521653
Germania,2018,82792351
Germania,2019,83019213
Germania,2020,83166711
Germania,2021,83155031
Germania,2022,83237124
Germania,2023,83118501
Germania,2024,83456045
Germania,2025,83577140
Danimarca,2014,5627235
Danimarca,2015,5659715
Danimarca,2016,5707251
Danimarca,2017,5748769
Danimarca,2018,5781190
Danimarca,2019,5806081
Danimarca,2020,5822763
Danimarca,2021,5840045
Danimarca,2022,5873420
Danimarca,2023,5932654
Danimarca,2024,5961249
Danimarca,2025,5992734
Estonia,2014,1315819
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Estonia,2024,1374687
Estonia,2025,1369995
Grecia,2014,10926807
Grecia,2015,10858018
Grecia,2016,10783748
Grecia,2017,10768193
Grecia,2018,10741165
Grecia,2019,10724599
Grecia,2020,10718565
Grecia,2021,10678632
Grecia,2022,10461627
Grecia,2023,10413982
Grecia,2024,10400720
Grecia,2025,10409547
Spagna,2014,46495744
Spagna,2015,46425722
Spagna,2016,46418884
Spagna,2017,46497393
Spagna,2018,46645070
Spagna,2019,46918951
Spagna,2020,47318050
Spagna,2021,47400798
Spagna,2022,47486843
Spagna,2023,48085361
Spagna,2024,48619695
Spagna,2025,49077984
Finlandia,2014,5451270
Finlandia,2015,5471753
Finlandia,2016,5487308
Finlandia,2017,5503297
Finlandia,2018,5513130
Finlandia,2019,5517919
Finlandia,2020,5525292
Finlandia,2021,5533793
Finlandia,2022,5548241
Finlandia,2023,5563970
Finlandia,2024,5603851
Finlandia,2025,5635971
Croazia,2014,4217632
Croazia,2015,4180915
Croazia,2016,4131115
Croazia,2017,4078769
Croazia,2018,4014341
Croazia,2019,3968676
Croazia,2020,3933511
Croazia,2021,3893026
Croazia,2022,3862305
Croazia,2023,3850894
Croazia,2024,3861967
Croazia,2025,3874350
Ungheria,2014,9850217
Ungheria,2015,9815858
Ungheria,2016,9779652
Ungheria,2017,9739857
Ungheria,2018,9713655
Ungheria,2019,9700272
Ungheria,2020,9689376
Ungheria,2021,9651461
Ungheria,2022,9610403
Ungheria,2023,9599744
Ungheria,2024,9584627
Ungheria,2025,9539502
Irlanda,2014,4637852
Irlanda,2015,4677627
Irlanda,2016,4726286
Irlanda,2017,4799157
Irlanda,2018,4855733
Irlanda,2019,4940311
Irlanda,2020,5012600
Irlanda,2021,5066893
Irlanda,2022,5154277
Irlanda,2023,5271395
Irlanda,2024,5351681
Irlanda,2025,5439898
Italia,2014,60345917
Italia,2015,60295497
Italia,2016,60163712
Italia,2017,60066734
Italia,2018,59937769
Italia,2019,59816673
Italia,2020,59641488
Italia,2021,59236213
Italia,2022,59030133
Italia,2023,58997201
Italia,2024,58971230
Italia,2025,58934177
Lituania,2014,2947862
Lituania,2015,2926644
Lituania,2016,2895573
Lituania,2017,2859077
Lituania,2018,2826200
Lituania,2019,2812200
Lituania,2020,2809977
Lituania,2021,2810761
Lituania,2022,2805998
Lituania,2023,2857279
Lituania,2024,2885891
Lituania,2025,2890664
Lussemburgo,2014,549680
Lussemburgo,2015,562958
Lussemburgo,2016,576249
Lussemburgo,2017,590667
Lussemburgo,2018,602005
Lussemburgo,2019,613894
Lussemburgo,2020,626108
Lussemburgo,2021,634730
Lussemburgo,2022,645397
Lussemburgo,2023,660809
Lussemburgo,2024,672050
Lussemburgo,2025,681973
Lettonia,2014,2001468
Lettonia,2015,1986096
Lettonia,2016,1968957
Lettonia,2017,1950116
Lettonia,2018,1934379
Lettonia,2019,1919968
Lettonia,2020,1907675
Lettonia,2021,1893223
Lettonia,2022,1875757
Lettonia,2023,1892103
Lettonia,2024,1875316
Lettonia,2025,1856932
Malta,2014,428156
Malta,2015,438805
Malta,2016,449635
Malta,2017,459375
Malta,2018,474837
Malta,2019,492968
Malta,2020,514855
Malta,2021,516125
Malta,2022,520174
Malta,2023,542051
Malta,2024,563443
Malta,2025,574250
Paesi Bassi,2014,16829289
Paesi Bassi,2015,16900726
Paesi Bassi,2016,16979120
Paesi Bassi,2017,17081507
Paesi Bassi,2018,17181084
Paesi Bassi,2019,17282163
Paesi Bassi,2020,17407585
Paesi Bassi,2021,17475415
Paesi Bassi,2022,17590672
Paesi Bassi,2023,17811291
Paesi Bassi,2024,17942942
Paesi Bassi,2025,18044027
Polonia,2014,38017856
Polonia,2015,38005614
Polonia,2016,37967209
Polonia,2017,37972964
Polonia,2018,37976687
Polonia,2019,37972812
Polonia,2020,37958138
Polonia,2021,37073357
Polonia,2022,36889761
Polonia,2023,36753736
Polonia,2024,36620970
Polonia,2025,36497495
Portogallo,2014,10444092
Portogallo,2015,10395121
Portogallo,2016,10368554
Portogallo,2017,10344478
Portogallo,2018,10335770
Portogallo,2019,10333496
Portogallo,2020,10375395
Portogallo,2021,10394297
Portogallo,2022,10421117
Portogallo,2023,10516621
Portogallo,2024,10639726
Portogallo,2025,10749635
Romania,2014,19947311
Romania,2015,19870647
Romania,2016,19760585
Romania,2017,19643949
Romania,2018,19533481
Romania,2019,19414458
Romania,2020,19328838
Romania,2021,19201662
Romania,2022,19042455
Romania,2023,19054548
Romania,2024,19067576
Romania,2025,19036031
