country,year,sex,disease,prevalence
Austria,2014,F,Allergia,25.9
Austria,2019,F,Allergia,24.5
Belgio,2014,F,Allergia,15.0
Belgio,2019,F,Allergia,20.5
Bulgaria,2014,F,Allergia,5.7
Bulgaria,2019,F,Allergia,5.3
Cipro,2014,F,Allergia,7.7
Cipro,2019,F,Allergia,9.2
Repubblica Ceca,2014,F,Allergia,14.2
Repubblica Ceca,2019,F,Allergia,15.7
Germania,2014,F,Allergia,32.5
Germania,2019,F,Allergia,34.9
Danimarca,2014,F,Allergia,17.6
Danimarca,2019,F,Allergia,18.1
Estonia,2014,F,Allergia,10.5
Estonia,2019,F,Allergia,13.0
Grecia,2014,F,Allergia,11.6
Grecia,2019,F,Allergia,7.6
Spagna,2014,F,Allergia,15.7
Spagna,2019,F,Allergia,12.8
Finlandia,2014,F,Allergia,37.1
Finlandia,2019,F,Allergia,39.4
Francia,2014,F,Allergia,16.3
Francia,2019,F,Allergia,25.5
Croazia,2014,F,Allergia,15.6
Croazia,2019,F,Allergia,19.6
Ungheria,2014,F,Allergia,15.8
Ungheria,2019,F,Allergia,21.1
Irlanda,2014,F,Allergia,15.6
Irlanda,2019,F,Allergia,8.4
Italia,2014,F,Allergia,16.2
Italia,2019,F,Allergia,17.4
Lituania,2014,F,Allergia,9.9
Lituania,2019,F,Allergia,13.5
Lussemburgo,2014,F,Allergia,27.2
Lussemburgo,2019,F,Allergia,29.1
Lettonia,2014,F,Allergia,14.5
Lettonia,2019,F,Allergia,14.2
Malta,2014,F,Allergia,17.4
Malta,2019,F,Allergia,10.0
Paesi Bassi,2014,F,Allergia,20.8
Paesi Bassi,2019,F,Allergia,23.2
Polonia,2014,F,Allergia,10.4
Polonia,2019,F,Allergia,10.0
Portogallo,2014,F,Allergia,23.3
Portogallo,2019,F,Allergia,24.5
Romania,2014,F,Allergia,1.8
Romania,2019,F,Allergia,0.9
Svezia,2014,F,Allergia,25.2
Svezia,2019,F,Allergia,26.8
Slovenia,2014,F,Allergia,20.1
Slovenia,2019,F,Allergia,19.0
Slovacchia,2014,F,Allergia,15.5
Slovacchia,2019,F,Allergia,16.0
Austria,2014,M,Allergia,21.2
Austria,2019,M,Allergia,22.0
Belgio,2014,M,Allergia,12.7
Belgio,2019,M,Allergia,17.8
Bulgaria,2014,M,Allergia,2.9
Bulgaria,2019,M,Allergia,2.4
Cipro,2014,M,Allergia,4.8
Cipro,2019,M,Allergia,5.9
Repubblica Ceca,2014,M,Allergia,9.3
Repubblica Ceca,2019,M,Allergia,9.4
Germania,2014,M,Allergia,25.8
Germania,2019,M,Allergia,27.4
Danimarca,2014,M,Allergia,14.7
Danimarca,2019,M,Allergia,15.4
Estonia,2014,M,Allergia,6.3
Estonia,2019,M,Allergia,8.9
Grecia,2014,M,Allergia,6.9
Grecia,2019,M,Allergia,5.4
Spagna,2014,M,Allergia,12.1
Spagna,2019,M,Allergia,9.8
Finlandia,2014,M,Allergia,26.6
Finlandia,2019,M,Allergia,28.5
Francia,2014,M,Allergia,11.5
Francia,2019,M,Allergia,20.5
Croazia,2014,M,Allergia,10.5
Croazia,2019,M,Allergia,13.5
Ungheria,2014,M,Allergia,13.5
Ungheria,2019,M,Allergia,16.9
Irlanda,2014,M,Allergia,9.7
Irlanda,2019,M,Allergia,6.6
Italia,2014,M,Allergia,14.0
Italia,2019,M,Allergia,15.5
Lituania,2014,M,Allergia,4.7
Lituania,2019,M,Allergia,7.7
Lussemburgo,2014,M,Allergia,21.5
Lussemburgo,2019,M,Allergia,24.8
Lettonia,2014,M,Allergia,7.6
Lettonia,2019,M,Allergia,8.3
Malta,2014,M,Allergia,13.8
Malta,2019,M,Allergia,6.7
Paesi Bassi,2014,M,Allergia,15.6
Paesi Bassi,2019,M,Allergia,18.0
Polonia,2014,M,Allergia,6.7
Polonia,2019,M,Allergia,6.5
Portogallo,2014,M,Allergia,14.6
Portogallo,2019,M,Allergia,17.7
Romania,2014,M,Allergia,0.9
Romania,2019,M,Allergia,0.5
Svezia,2014,M,Allergia,20.2
Svezia,2019,M,Allergia,22.1
Slovenia,2014,M,Allergia,13.5
Slovenia,2019,M,Allergia,13.8
Slovacchia,2014,M,Allergia,10.9
Slovacchia,2019,M,Allergia,10.4
Austria,2014,F,Artrosi,16.1
Austria,2019,F,Artrosi,18.3
Belgio,2014,F,Artrosi,22.1
Belgio,2019,F,Artrosi,23.7
Bulgaria,2014,F,Artrosi,10.2
Bulgaria,2019,F,Artrosi,8.1
Cipro,2014,F,Artrosi,6.4
Cipro,2019,F,Artrosi,13.5
Repubblica Ceca,2014,F,Artrosi,14.4
Repubblica Ceca,2019,F,Artrosi,15.5
Germania,2014,F,Artrosi,21.1
Germania,2019,F,Artrosi,21.7
Danimarca,2014,F,Artrosi,20.6
Danimarca,2019,F,Artrosi,22.7
Estonia,2014,F,Artrosi,3.3
Estonia,2019,F,Artrosi,5.5
Grecia,2014,F,Artrosi,10.0
Grecia,2019,F,Artrosi,8.2
Spagna,2014,F,Artrosi,25.4
Spagna,2019,F,Artrosi,22.4
Finlandia,2014,F,Artrosi,26.3
Finlandia,2019,F,Artrosi,28.2
Francia,2014,F,Artrosi,25.4
Francia,2019,F,Artrosi,27.7
Croazia,2014,F,Artrosi,7.9
Croazia,2019,F,Artrosi,14.7
Ungheria,2014,F,Artrosi,22.6
Ungheria,2019,F,Artrosi,19.4
Irlanda,2014,F,Artrosi,3.3
Irlanda,2019,F,Artrosi,2.1
Italia,2014,F,Artrosi,24.7
Italia,2019,F,Artrosi,25.5
Lituania,2014,F,Artrosi,11.0
Lituania,2019,F,Artrosi,11.2
Lussemburgo,2014,F,Artrosi,23.3
Lussemburgo,2019,F,Artrosi,21.6
Lettonia,2014,F,Artrosi,13.3
Lettonia,2019,F,Artrosi,14.8
Malta,2014,F,Artrosi,16.0
Malta,2019,F,Artrosi,8.3
Paesi Bassi,2014,F,Artrosi,18.6
Paesi Bassi,2019,F,Artrosi,19.4
Polonia,2014,F,Artrosi,19.3
Polonia,2019,F,Artrosi,19.8
Portogallo,2014,F,Artrosi,32.9
Portogallo,2019,F,Artrosi,32.2
Romania,2014,F,Artrosi,6.2
Romania,2019,F,Artrosi,5.4
Svezia,2014,F,Artrosi,16.4
Svezia,2019,F,Artrosi,19.5
Slovenia,2014,F,Artrosi,6.3
Slovenia,2019,F,Artrosi,6.2
Slovacchia,2014,F,Artrosi,15.0
Slovacchia,2019,F,Artrosi,16.0
Austria,2014,M,Artrosi,8.6
Austria,2019,M,Artrosi,11.0
Belgio,2014,M,Artrosi,12.4
Belgio,2019,M,Artrosi,15.0
Bulgaria,2014,M,Artrosi,4.5
Bulgaria,2019,M,Artrosi,3.3
Cipro,2014,M,Artrosi,3.0
Cipro,2019,M,Artrosi,8.2
Repubblica Ceca,2014,M,Artrosi,9.7
Repubblica Ceca,2019,M,Artrosi,10.6
Germania,2014,M,Artrosi,13.0
Germania,2019,M,Artrosi,12.3
Danimarca,2014,M,Artrosi,14.4
Danimarca,2019,M,Artrosi,13.9
Estonia,2014,M,Artrosi,1.4
Estonia,2019,M,Artrosi,3.5
Grecia,2014,M,Artrosi,3.6
Grecia,2019,M,Artrosi,2.7
Spagna,2014,M,Artrosi,12.2
Spagna,2019,M,Artrosi,10.3
Finlandia,2014,M,Artrosi,17.2
Finlandia,2019,M,Artrosi,19.2
Francia,2014,M,Artrosi,15.4
Francia,2019,M,Artrosi,17.6
Croazia,2014,M,Artrosi,3.5
Croazia,2019,M,Artrosi,8.6
Ungheria,2014,M,Artrosi,17.3
Ungheria,2019,M,Artrosi,16.4
