STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2012,,83.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2013,,83.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2014,,84.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2015,,83.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2016,,84.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2017,,84.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2018,,84.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2019,,84.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2020,,83.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2021,,83.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2022,,83.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,AT,Austria,2023,,84.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2012,,83.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2013,,83.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2014,,83.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2015,,83.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2016,,84.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2017,,83.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2018,,83.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2019,,84.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2020,,83.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2021,,84.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2022,,83.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BE,Belgium,2023,,84.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2012,,77.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2013,,78.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2014,,78.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2015,,78.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2016,,78.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2017,,78.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2018,,78.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2019,,78.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2020,,77.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2021,,75.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2022,,77.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,BG,Bulgaria,2023,,79.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2012,,84.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2013,,85.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2014,,85.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2015,,85.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2016,,85.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2017,,85.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2018,,85.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2019,,85.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2020,,85.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2021,,85.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2022,,85.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CH,Switzerland,2023,,86.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2012,,83.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2013,,85.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2014,,84.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2015,,83.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2016,,84.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2017,,84.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2018,,84.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2019,,84.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2020,,84.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2021,,83.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2022,,83.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CY,Cyprus,2023,,85.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2012,,81.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2013,,81.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2014,,82.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2015,,81.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2016,,82.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2017,,82.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2018,,82.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2019,,82.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2020,,81.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2021,,80.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2022,,81.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,CZ,Czechia,2023,,82.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2012,,83.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2013,,83.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2014,,83.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2015,,83.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2016,,83.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2017,,83.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2018,,83.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2019,,83.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,F,Females,LE_0,Life expectancy in absolute value at birth,DE,Germany,2020,,83.5,,,,,
