STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2014,,8507786,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2015,,8584926,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2016,,8700471,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2017,,8772865,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2018,,8822267,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2019,,8858775,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2020,,8901064,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2021,,8932664,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2022,,8978929,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2023,,9104772,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2024,,9158750,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,AT,Austria,2025,,9197213,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2014,,11180840,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2015,,11237274,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2016,,11311117,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2017,,11351727,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2018,,11398589,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2019,,11455519,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2020,,11522440,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2021,,11554767,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2022,,11617623,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2023,,11742796,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2024,,11817096,,,,,
dataflow,ESTAT:TPS00001(1.0),Population on 1 January,A,Annual,JAN,Population on 1 January - total,BE,Belgium,2025,,11900123,,p,provisional,,
